"تاريخ","اخر سعر","سعر الفتح","عالي","منخفض","التغير %"
"27 ديسمبر, 2023","0.9003","0.9056","0.9068","0.8990","-0.55"
"28 ديسمبر, 2023","0.9039","0.9003","0.9046","0.8976","0.40"
"29 ديسمبر, 2023","0.9060","0.9041","0.9064","0.9021","0.23"
"01 يناير, 2024","0.9053","0.9054","0.9061","0.9052","-0.08"
"02 يناير, 2024","0.9137","0.9054","0.9143","0.9053","0.93"
"03 يناير, 2024","0.9156","0.9133","0.9180","0.9119","0.21"
"04 يناير, 2024","0.9135","0.9157","0.9161","0.9113","-0.23"
"05 يناير, 2024","0.9138","0.9135","0.9194","0.9092","0.03"
"08 يناير, 2024","0.9130","0.9136","0.9155","0.9108","-0.09"
"09 يناير, 2024","0.9147","0.9130","0.9166","0.9118","0.19"
"10 يناير, 2024","0.9112","0.9147","0.9155","0.9113","-0.38"
"11 يناير, 2024","0.9112","0.9114","0.9150","0.9098","0.00"
"12 يناير, 2024","0.9130","0.9113","0.9145","0.9101","0.20"
"15 يناير, 2024","0.9131","0.9129","0.9147","0.9117","0.01"
"16 يناير, 2024","0.9193","0.9133","0.9207","0.9131","0.68"
"17 يناير, 2024","0.9187","0.9197","0.9222","0.9186","-0.07"
"18 يناير, 2024","0.9193","0.9190","0.9220","0.9168","0.07"
"19 يناير, 2024","0.9175","0.9195","0.9204","0.9176","-0.20"
"22 يناير, 2024","0.9187","0.9182","0.9191","0.9165","0.13"
"23 يناير, 2024","0.9216","0.9189","0.9241","0.9161","0.32"
"24 يناير, 2024","0.9185","0.9212","0.9221","0.9147","-0.34"
"25 يناير, 2024","0.9219","0.9187","0.9241","0.9172","0.37"
"26 يناير, 2024","0.9215","0.9219","0.9248","0.9189","-0.05"
"","","","","",""
"","الأعلى:0.9248","الأدنى:0.8976","الفرق:0.0272","المعدل:0.9141","التغير %:1.7839"
